團	团
忙著	忙着
標志著	标志着
擋著	挡着
語著稱	语著称
穢	秽
穡	穑
穠	秾
穭	稆
候著称	候著称
穫	获
穩	稳
鬆	松
懞	蒙
懟	怼
扛著书	扛著书
蔦	茑
賕	赇
叢	丛
低著稱	低著称
揉著名	揉著名
捆著称	捆著称
懍	懔
斥著称	斥著称
節慶	节日
盛著名	盛著名
應	应
懇	恳
鬚	须
懼	惧
漫著	漫着
懾	慑
鬥	斗
鬢	鬓
懺	忏
尋著	寻着
懶	懒
逕	迳
躺著者	躺著者
懲	惩
鬩	阋
懨	恹
瞪著作	瞪著作
試著稱	试著称
鬱	郁
揮著名	挥著名
懣	懑
獨著者	独著者
偷著录	偷著录
屋价	房价
著鞭	着鞭
猻	狲
介面	接口
猶	犹
頂著錄	顶著录
亮著作	亮著作
猙	狰
駕著者	驾著者
遇著名	遇著名
罩著書	罩著书
冒著書	冒著书
鏟	铲
鏞	镛
鏝	镘
鏜	镗
鏚	戚
鏘	锵
信著者	信著者
16進位	16进位
考著稱	考著称
渴著錄	渴著录
鏑	镝
鏐	镠
鏍	镙
鏌	镆
鏈	链
鏇	镟
鏃	镞
疑著名	疑著名
远程控制	远程控制
鏽	锈
配著者	配著者
隔著录	隔著录
鏹	镪
鏷	镤
鏵	铧
愛著名	爱著名
鏰	镚
幺娘	幺娘
拎著称	拎著称
睡著作	睡著作
騎著稱	骑著称
鏦	𫓩
鏤	镂
傳著述	传著述
審	审
鏡	镜
守著作	守著作
跑著称	跑著称
哭著稱	哭著称
櫃	柜
櫚	榈
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫓	橹
蟬	蝉
孤著书	孤著书
疑著述	疑著述
空著者	空著者
櫫	橥
櫬	榇
乾鵠	乾鹄
櫥	橱
櫧	槠
櫸	榉
乾刚	乾刚
櫻	樱
性著名	性著名
傳著	传着
揮著	挥着
櫳	栊
奐	奂
導	导
對	对
見著名	见著名
尋	寻
專	专
將	将
沉著稱	沉著称
殺著錄	杀著录
疑著稱	疑著称
尷	尴
開著書	开著书
用著述	用著述
盯著称	盯著称
綁著者	绑著者
康著錄	康著录
苧	苎
流著稱	流著称
乾封	乾封
飈	飚
拿著作	拿著作
貞著述	贞著述
愨	悫
伴著录	伴著录
飀	飗
飆	飙
飄	飘
飛	飞
忙著录	忙著录
愴	怆
愷	恺
扎著录	扎著录
愾	忾
飫	饫
飪	饪
飩	饨
飯	饭
喝著錄	喝著录
飭	饬
三極管	三极管
飢	饥
衣著作	衣著作
飠	饣
著墨	着墨
飥	饦
燈	灯
速食麵	方便面
看著	看着
鈔	钞
飿	饳
飾	饰
飽	饱
飼	饲
飲	饮
飱	飧
捆著述	捆著述
愜	惬
於潛縣	於潜县
蟎	螨
裝著書	装著书
劉	刘
陪著	陪着
流著	流着
動著作	动著作
學著作	学著作
平治	奔驰
乾清宫	乾清宫
浮著述	浮著述
乾清宮	乾清宫
試著	试着
得著稱	得著称
嚷著名	嚷著名
覆蓋	覆蓋
丑著称	丑著称
嬋	婵
嬈	娆
拉著書	拉著书
衹	只
嬌	娇
嬀	妫
愛著者	爱著者
嬙	嫱
逆著称	逆著称
易經·乾	易经·乾
鍤	锸
嬪	嫔
沉著述	沉著述
嬡	嫒
嬤	嬷
嬸	婶
燦	灿
配著稱	配著称
罩著者	罩著者
嬰	婴
甜著述	甜著述
唱著者	唱著者
展著名	展著名
稜	棱
稟	禀
甚麼	什么
甚麽	什么
稅	税
獲著錄	获著录
稏	䅉
稈	秆
映著录	映著录
跑著述	跑著述
稱	称
當著錄	当著录
鍰	锾
福著作	福著作
急著述	急著述
耀著名	耀著名
受著稱	受著称
著式	着式
種	种
掙著作	挣著作
康著书	康著书
繞著作	绕著作
反覆	反复
空著錄	空著录
吉里巴斯	基里巴斯
參	参
儲	储
叄	叁
麼麼	麽麽
茲	兹
陋著書	陋著书
遇著稱	遇著称
沿著者	沿著者
背著述	背著述
儷	俪
䯀	䯅
保障著稱	保障著称
現	现
儻	傥
儸	㑩
暗著书	暗著书
磁碟	磁盘
附著述	附著述
沉著作	沉著作
苦著作	苦著作
乾和	乾和
紀	纪
紂	纣
約	约
紅	红
紆	纡
紇	纥
陪著书	陪著书
紉	纫
紋	纹
納	纳
紐	纽
找得著	找得着
紓	纾
純	纯
紕	纰
紖	纼
紗	纱
做著述	做著述
紙	纸
級	级
紛	纷
管著錄	管著录
紝	纴
紡	纺
暗著名	暗著名
紬	䌷
紮	扎
細	细
紱	绂
紲	绁
紳	绅
紵	纻
光著书	光著书
紹	绍
紺	绀
紼	绋
紿	绐
行著作	行著作
有著述	有著述
跪著称	跪著称
不著痕跡	不着痕迹
樅	枞
抱著稱	抱著称
樁	桩
樂	乐
樞	枢
標	标
扎著作	扎著作
么小	幺小
挑著名	挑著名
樑	梁
望著称	望著称
樓	楼
戴著述	戴著述
閑著錄	闲著录
幫著名	帮著名
𧦧	𫍟
乾剛	乾刚
借著书	借著书
循著書	循著书
制著录	制著录
樹	树
樸	朴
樺	桦
滾	滚
坦尚尼亞	坦桑尼亚
涵著錄	涵著录
竈	灶
竊	窃
藉端	借端
信著作	信著作
竅	窍
竄	窜
竇	窦
綏	绥
镟	旋
滄	沧
衛生	卫生
跑著者	跑著者
站著書	站著书
競	竞
臨著名	临著名
映著书	映著书
竪	竖
與著名	与著名
抓著者	抓著者
心著作	心著作
慤	悫
背著作	背著作
盾著作	盾著作
慮	虑
乾居	乾居
慪	怄
慫	怂
萧乾	萧乾
慶	庆
慳	悭
慾	欲
釀著書	酿著书
不著邊際	不着边际
風	风
慄	栗
駕著名	驾著名
區域網	局域网
颮	飑
颯	飒
挑著录	挑著录
慍	愠
態	态
颸	飔
許可權	权限
颺	飏
颻	飖
颼	飕
慟	恸
獨著稱	独著称
慚	惭
慘	惨
鎝	𨱏
鎘	镉
鎚	锤
鎛	镈
鎔	镕
遇著述	遇著述
鎖	锁
借著名	借著名
豎著	竖着
鎌	镰
走著作	走著作
鎊	镑
㠏	㟆
鎄	锿
鎇	镅
雅著	雅着
鎂	镁
鎿	镎
鎸	镌
提著述	提著述
鎵	镓
鎰	镒
鎲	镋
鎳	镍
鎬	镐
鎭	鎮
鎮	镇
冀著书	冀著书
鎩	铩
鎪	锼
含著名	含著名
豫著述	豫著述
鎦	镏
鎧	铠
鎡	镃
鎢	钨
鎣	蓥
蠍	蝎
蘸著者	蘸著者
蠆	虿
蠅	蝇
蠟	蜡
仗著者	仗著者
性著者	性著者
嫗	妪
愛著述	爱著述
蠑	蝾
蠐	蛴
覆核	复核
蠨	蟏
蠣	蛎
冒著书	冒著书
蠻	蛮
住著录	住著录
站著稱	站著称
逆著述	逆著述
蠱	蛊
試著書	试著书
望著述	望著述
蠶	蚕
揉著录	揉著录
夾著書	夹著书
連著錄	连著录
機	机
枕著作	枕著作
守著錄	守著录
橋	桥
橈	桡
孤著	孤着
瞪著錄	瞪著录
站著录	站著录
孤著述	孤著述
橢	椭
記著稱	记著称
橫	横
網際網路	互联网
厠	厕
簡	简
厤	历
乾维	乾维
漫著稱	漫著称
樂著	乐着
伴著稱	伴著称
網	网
厲	厉
厴	厣
荊	荆
繞著	绕着
綰	绾
著祂	着祂
著氣	着气
據著稱	据著称
受著	受着
盾著	盾着
厙	厍
用著名	用著名
站著	站着
咼	呙
斥著	斥着
著火	着火
候著	候着
尋著者	寻著者
當著述	当著述
盾著稱	盾著称
想著者	想著者
獲著述	获著述
叫著书	叫著书
藏著書	藏著书
叫著称	叫著称
福斯	大众
石碁鎮	石碁镇
吹著書	吹著书
行著述	行著述
涼著名	凉著名
象牙海岸	科特迪瓦
著我	着我
記著	记着
緄	绲
緇	缁
備著作	备著作
燒著作	烧著作
嚷著称	嚷著称
猜著作	猜著作
緋	绯
緊	紧
字元	字符
緔	绱
緗	缃
緑	绿
緓	绬
緒	绪
緝	缉
緞	缎
緙	缂
獨著名	独著名
線	线
配著書	配著书
緦	缌
緡	缗
締	缔
緣	缘
緬	缅
緯	纬
緩	缓
編	编
練	练
緶	缏
緱	缑
乾纲	乾纲
緲	缈
乾纽	乾纽
緹	缇
乾棟	乾栋
緻	致
鱨	鲿
衊	蔑
慣著名	惯著名
味著	味着
晃著述	晃著述
潤著錄	润著录
衆	众
乾軸	乾轴
衚	胡
衛	卫
衝	冲
忍著名	忍著名
米高奧雲	迈克尔·欧文
術	术
衕	同
16進位制	16进位制
斗著	斗着
幺麽小丑	幺麽小丑
乾車	乾车
媯	妫
冒著	冒着
媧	娲
跳著名	跳著名
媼	媪
媽	妈
向著書	向著书
走著称	走著称
盛著称	盛著称
夾著	夹着
飄著稱	飘著称
氆氌	氆氌
黏著	黏着
髭著称	髭著称
綁著錄	绑著录
急著书	急著书
獲著書	获著书
用著书	用著书
窺	窥
窶	窭
追著作	追著作
窵	窎
仗著书	仗著书
窮	穷
窯	窑
窪	洼
考著作	考著作
管著录	管著录
窩	窝
位元組	字节
乾矢	乾矢
渴著者	渴著者
尋著稱	寻著称
摟著錄	搂著录
靠著錄	靠著录
暗著录	暗著录
醯壺	醯壶
拼著稱	拼著称
氾濫	泛滥
望著名	望著名
圍著錄	围著录
戰著	战着
潤著稱	润著称
醯壶	醯壶
閑著述	闲著述
領著者	领著者
考著錄	考著录
蒙著书	蒙著书
玀	猡
殤	殇
高著名	高著名
渴著书	渴著书
打印	打印
躚	跹
貞著者	贞著者
鍠	锽
刻著者	刻著者
鍥	锲
功能變數名稱	域名
鍩	锘
磣	碜
係	系
躦	躜
鍵	键
忍著稱	忍著称
鍶	锶
鍺	锗
悠著錄	悠著录
鍾	钟
鍁	锨
鍀	锝
鍃	锪
應著錄	应著录
鍇	锴
鍆	钔
鍈	锳
音效卡	声卡
鍊	炼
據著名	据著名
鍔	锷
冀著者	冀著者
鍘	铡
鍛	锻
鍚	钖
於志贺	於志贺
綁著名	绑著名
綈	绨
綉	绣
臨	临
綌	绤
綃	绡
轉著者	转著者
仗著名	仗著名
綆	绠
藏著称	藏著称
綞	缍
笨豬跳	蹦极跳
綜	综
經	经
綐	䌼
乾统	乾统
罩著录	罩著录
乾络	乾络
綫	线
綯	绹
綬	绶
維	维
綢	绸
綣	绻
綠	绿
綺	绮
綻	绽
綸	纶
綹	绺
綾	绫
綿	绵
綽	绰
變著者	变著者
綳	绷
麗著書	丽著书
綱	纲
綴	缀
綵	彩
枕著录	枕著录
乾台	乾台
哭著称	哭著称
卡佩雅蒂	珍妮弗·卡普里亚蒂
猜著錄	猜著录
殞	殒
殘	残
身著书	身著书
定著述	定著述
戴著名	戴著名
殲	歼
殰	㱩
殼	壳
殻	壳
殺	杀
類	类
瞪著录	瞪著录
殯	殡
殮	殓
殭	僵
殫	殚
載著	载着
殨	㱮
額	额
題	题
顏	颜
顎	颚
著驚	着惊
得著書	得著书
顆	颗
關著稱	关著称
顙	颡
願	愿
顛	颠
顔	颜
蘸著作	蘸著作
顓	颛
顒	颙
拉著	拉着
顬	颥
顯	显
顫	颤
顥	颢
顧	顾
顢	颟
浮著錄	浮著录
悠著录	悠著录
看著述	看著述
顴	颧
叫著名	叫著名
顱	颅
顰	颦
顳	颞
忙著書	忙著书
低著書	低著书
衣著述	衣著述
保障著录	保障著录
裹著录	裹著录
持著	持着
著數	着数
滑鼠	鼠标
高著	高着
甜著者	甜著者
心著者	心著者
錦	锦
刻著书	刻著书
錢	钱
錠	锭
錡	锜
錮	锢
錯	错
錫	锡
錨	锚
福士	大众
錶	表
沒	没
努力著錄	努力著录
録	录
錳	锰
走著述	走著述
味著名	味著名
錸	铼
錆	锖
錇	锫
錄	录
跳著述	跳著述
錁	锞
錏	铔
光碟機	光驱
錈	锩
劃	划
開著名	开著名
錕	锟
錒	锕
錐	锥
錟	锬
錚	铮
錛	锛
刻著錄	刻著录
錙	锱
跟著者	跟著者
婁	娄
袞	衮
流著作	流著作
急著	急着
來著錄	来著录
備著者	备著者
隔著作	隔著作
婦	妇
望著者	望著者
婭	娅
坐著称	坐著称
莢	荚
莧	苋
急著錄	急著录
沉著称	沉著称
偷著書	偷著书
波士尼亞赫塞哥維納	波斯尼亚和黑塞哥维那
卽	即
戴著書	戴著书
卻	却
騎著書	骑著书
區	区
穿著者	穿著者
髭著作	髭著作
蓋火鍋	火锅盖帽
阳为乾	阳为乾
協	协
雅著称	雅著称
莖	茎
雜訊	噪声
苦著述	苦著述
鋪著名	铺著名
戴著稱	戴著称
晃著者	晃著者
陋著錄	陋著录
牽	牵
韍	韨
飄著書	飘著书
乾式	乾式
豫著	豫着
附著作	附著作
軟件	软件
慣著	惯着
牘	牍
牆	墙
性著錄	性著录
東	东
鷲	鹫
乾，天也	乾，天也
吶	呐
韃	鞑
燒著述	烧著述
吳	吴
接著作	接著作
刻著录	刻著录
鷿	䴙
宮	宫
當著作	当著作
訶	诃
獲著名	获著名
蘸著錄	蘸著录
閂	闩
著撰	着撰
閃	闪
吒	咤
閌	闶
語著	语着
鷹	鹰
拉著录	拉著录
夾著述	夹著述
附著稱	附著称
跳著書	跳著书
籌	筹
關著者	关著者
乾紅	乾红
籃	篮
閉	闭
籟	籁
籜	箨
閉著	闭着
籙	箓
制著称	制著称
乾紐	乾纽
抓著	抓着
騙著者	骗著者
訣	诀
籬	篱
籪	簖
籩	笾
拼著作	拼著作
潤著述	润著述
籤	签
瑽	𪻐
籠	笼
壩	坝
急著称	急著称
側著者	侧著者
在著者	在著者
籲	吁
信著述	信著述
畢	毕
躍著錄	跃著录
伴著者	伴著者
閒	闲
畫	画
異	异
殺著作	杀著作
當	当
畵	画
聽著書	听著书
孤著錄	孤著录
關著錄	关著录
志著述	志著述
扛著書	扛著书
扛著述	扛著述
有著书	有著书
心著述	心著述
努力著書	努力著书
渴著書	渴著书
鋃	锒
含著书	含著书
畝	亩
頒	颁
閤	合
預	预
瞪著书	瞪著书
頗	颇
訒	讱
領	领
頜	颌
頂	顶
頃	顷
乾巛	乾巛
頁	页
順	顺
頇	顸
乾州	乾州
頊	顼
著姓	着姓
須	须
頎	颀
頏	颃
頌	颂
閡	阂
頲	颋
頰	颊
呂	吕
頷	颔
頴	颕
鐙	镫
頻	频
頸	颈
頹	颓
背著称	背著称
頽	颓
櫪	枥
閬	阆
拚	拼
頡	颉
頦	颏
頤	颐
以微知著	以微知著
衣著称	衣著称
溢著書	溢著书
頭	头
爲	为
住著称	住著称
昂著者	昂著者
爾	尔
朝著述	朝著述
爺	爷
盛著錄	盛著录
因數	因子
爭	争
閑著作	闲著作
走著名	走著名
戀著者	恋著者
側著	侧着
遇著作	遇著作
閶	阊
爛	烂
找不著	找不着
爍	烁
悠著	悠着
追著称	追著称
扎著述	扎著述
況	况
因著書	因著书
乾象历	乾象历
乾启	乾启
頂著名	顶著名
去著录	去著录
閽	阍
錩	锠
泝	溯
郵	邮
閿	阌
亮著书	亮著书
乾吉	乾吉
討	讨
夾著稱	夹著称
郟	郏
背著者	背著者
昭著	昭著
爭著	争着
睡著	睡着
閻	阎
沖	冲
抱著称	抱著称
獲著稱	获著称
毆	殴
乾錄	乾录
嚷著书	嚷著书
餛	馄
紈	纨
見著書	见著书
海珊	侯赛因
乾化	乾化
毿	毵
味著录	味著录
罩著	罩着
盾著录	盾著录
豎著者	竖著者
遇著者	遇著者
匯	汇
開著稱	开著称
華	华
制著作	制著作
菴	庵
演著称	演著称
射門	打门
備著稱	备著称
匱	匮
提著称	提著称
想著录	想著录
蒙著述	蒙著述
矽钢	矽钢
隨著書	随著书
陋著录	陋著录
滿16進位	满16进位
拿著稱	拿著称
蘸著述	蘸著述
駕	驾
駔	驵
戩	戬
駒	驹
駑	驽
駐	驻
駟	驷
駝	驼
餉	饷
駛	驶
駙	驸
駘	骀
追著述	追著述
亮著名	亮著名
列支敦斯登	列支敦士登
馬利共和國	马里共和国
見著錄	见著录
駁	驳
背著錄	背著录
戶	户
矽塵	矽尘
戰	战
戲	戏
駱	骆
駰	骃
駿	骏
美著作	美著作
戇	戆
駻	𫘣
戀	恋
耀著書	耀著书
駸	骎
浮著书	浮著书
駢	骈
駡	骂
乾盛世	乾盛世
著妳	着妳
照著名	照著名
麗著稱	丽著称
頂著述	顶著述
唱著書	唱著书
乾衡	乾衡
打印機	打印机
扛著名	扛著名
雜著	杂着
幹著	干着
掖著	掖着
循著书	循著书
住著述	住著述
蛻	蜕
鋪著書	铺著书
乾行	乾行
附著称	附著称
冒著录	冒著录
錘	锤
餷	馇
志著	志着
乾轴	乾轴
吹著录	吹著录
餿	馊
娛	娱
補	补
裝	装
候著書	候著书
乾车	乾车
高著書	高著书
裊	袅
仗著述	仗著述
換	换
裏	里
樊於期	樊於期
製	制
裡	里
膠著名	胶著名
涼著	凉着
侏儸紀	侏罗纪
落著	落着
求著称	求著称
產	产
産	产
甦	苏
晃著作	晃著作
康著作	康著作
烏茲別克	乌兹别克斯坦
無	无
甯	宁
斗著称	斗著称
逆著者	逆著者
彷彿	仿佛
福著名	福著名
陳乾生	陈乾生
走著錄	走著录
踏著	踏着
𡻕	岁
甌	瓯
甕	瓮
光著者	光著者
持著述	持著述
孤著稱	孤著称
守著称	守著称
努著称	努著称
勩	勚
耬	耧
愛著作	爱著作
寫著稱	写著称
勢	势
據著者	据著者
勻	匀
勸	劝
鍛鍾	锻锺
關著作	关著作
勳	勋
勱	劢
困著录	困著录
盯著稱	盯著称
獨著錄	独著录
勁	劲
盧安達	卢旺达
王道乾	王道乾
勝	胜
勛	勋
務	务
動	动
雜著作	杂著作
狹	狭
信著	信着
著處	着处
學著述	学著述
性著書	性著书
涼著稱	凉著称
著號	着号
互動式	交互式
連著者	连著者
債	债
跪著	跪着
暗著作	暗著作
努著書	努著书
踏著录	踏著录
盡	尽
耀著錄	耀著录
狀	状
馬爾他	马耳他
簍	篓
溢著名	溢著名
簀	箦
譾	谫
簞	箪
數著名	数著名
鉑	铂
寫著名	写著名
簑	蓑
乾栋	乾栋
豫著称	豫著称
纏著者	缠著者
簫	箫
潤著名	润著名
乾絡	乾络
黏著录	黏著录
嚷著書	嚷著书
簣	篑
簽	签
簾	帘
簹	筜
沉著书	沉著书
冒著名	冒著名
頂著書	顶著书
黃	黄
駕著述	驾著述
鉞	钺
輸	输
欞	棂
欒	栾
沈沒	沉没
黌	黉
笑著名	笑著名
欏	椤
借著作	借著作
掖著錄	掖著录
扎著书	扎著书
欅	榉
乾卦	乾卦
向著录	向著录
欽	钦
掖著者	掖著者
向著名	向著名
做著稱	做著称
留著名	留著名
側著錄	侧著录
黲	黪
譯	译
「	“
」	”
『	‘
』	’
丑著作	丑著作
黿	鼋
愛著錄	爱著录
黽	黾
鉀	钾
多米尼克	多米尼加国
代表著述	代表著述
痠	酸
壓著錄	压著录
拖著作	拖著作
領著錄	领著录
金鍊	金链
耀著者	耀著者
抬著名	抬著名
痾	疴
低著者	低著者
陋著者	陋著者
鉉	铉
吃得著	吃得着
乾皋	乾皋
孤著称	孤著称
著腳	着脚
隔著述	隔著述
斗著述	斗著述
痙	痉
福著述	福著述
譜	谱
對著者	对著者
盛著述	盛著述
喝著名	喝著名
著帳	着帐
配著录	配著录
馴	驯
馱	驮
馳	驰
繞著書	绕著书
馹	驲
偷著述	偷著述
因著录	因著录
數著作	数著作
豎著述	竖著述
努力著者	努力著者
抱著作	抱著作
馬	马
馭	驭
馮	冯
漫著名	漫著名
氂	牦
氌	氇
氈	毡
鉸	铰
嚷著者	嚷著者
乾命	乾命
後姓	後姓
領著稱	领著称
鉺	铒
戀著錄	恋著录
邊	边
猜著者	猜著者
氣	气
邏	逻
刻著稱	刻著称
還	还
氫	氢
乾马	乾马
鉦	钲
氳	氲
候著名	候著名
邐	逦
著錄規則	著录规则
含著稱	含著称
傳著作	传著作
嶄	崭
褘	袆
複	复
見著	见着
拿著者	拿著者
望著錄	望著录
靠著者	靠著者
鉬	钼
幺舅	幺舅
本著称	本著称
光著录	光著录
代表著稱	代表著称
褳	裢
褲	裤
褻	亵
褸	褛
漁	渔
嚷著錄	嚷著录
睡著者	睡著者
鍊子	链子
釣	钓
苦著者	苦著者
姦	奸
歟	欤
米澤瑠美	米泽瑠美
莊	庄
笑著书	笑著书
著地	着地
歐	欧
鋦	锔
歎	叹
光著称	光著称
麗	丽
當著	当着
鎖鍊	锁链
歿	殁
麥	麦
歸	归
敞著者	敞著者
歷	历
麪	面
麫	面
歲	岁
麯	曲
麴	曲
麵	面
哭著作	哭著作
牽著書	牵著书
麼	么
麽	么
逼著稱	逼著称
歡	欢
嗅著	嗅着
聯	联
聹	聍
寫著錄	写著录
聽	听
聾	聋
因著稱	因著称
聰	聪
據著述	据著述
聲	声
聳	耸
聵	聩
聶	聂
職	职
劌	刿
劍	剑
諾魯	瑙鲁
劏	㓥
蒙著称	蒙著称
空著称	空著称
劊	刽
瞧著名	瞧著名
本著書	本著书
踩著	踩着
劇	剧
睡著書	睡著书
釀著者	酿著者
挑著作	挑著作
軍中樂園	军中乐园
淥	渌
劑	剂
聖	圣
行著称	行著称
飄著	飘着
踐	践
志著名	志著名
釘	钉
挑著錄	挑著录
潤著作	润著作
保障著作	保障著作
甜著書	甜著书
住著者	住著者
數據機	调制解调器
響著	响着
嶽	岳
釁	衅
糝	糁
糞	粪
行著	行着
空著作	空著作
𡞵	㛟
跪著錄	跪著录
印著書	印著书
鉸鍊	铰链
糰	团
點	点
糲	粝
糴	籴
糶	粜
糹	纟
桌球	台球
糾	纠
低著名	低著名
糧	粮
䱽	䲝
乾綱	乾纲
趴著書	趴著书
襖	袄
妝	妆
披著	披着
襝	裣
枕著	枕着
襆	幞
襇	裥
襀	𫌀
襏	袯
耀著书	耀著书
鋭	锐
響著者	响著者
襲	袭
忙著书	忙著书
仰屋著書	仰屋著书
佛頭著糞	佛头著粪
襠	裆
披著称	披著称
膃	腽
襬	䙓
襯	衬
襪	袜
考著书	考著书
貞著書	贞著书
幺麽	幺麽
遺著	遗著
仗著作	仗著作
項鍊	项链
廚	厨
疊	叠
鸚	鹦
壓著者	压著者
向著稱	向著称
疇	畴
行著名	行著名
豫著者	豫著者
猜著	猜着
試著述	试著述
擴	扩
扎著者	扎著者
毛里裘斯	毛里求斯
擷	撷
順著者	顺著者
對著書	对著书
犧	牺
犢	犊
演著錄	演著录
撼著錄	撼著录
看著称	看著称
燒著	烧着
乾上乾下	乾上乾下
犖	荦
隨著者	随著者
渴著作	渴著作
想著称	想著称
照著稱	照著称
浮著	浮着
寮國	老挝
適	适
廈	厦
遡	溯
遠	远
遼	辽
努著作	努著作
冷盤	凉菜
選	选
遺	遗
乾首	乾首
擄	掳
含著者	含著者
急著書	急著书
遲	迟
滿十進位	满十进位
乾馬	乾马
過	过
志著称	志著称
斗著書	斗著书
運	运
遊	游
隨著稱	随著称
拖著称	拖著称
趴著名	趴著名
決	决
遜	逊
遞	递
附著录	附著录
違	违
達	达
擋著作	挡著作
昂著作	昂著作
著迷	着迷
背著书	背著书
著述	著述
拿著名	拿著名
挨著錄	挨著录
靠著名	靠著名
執著	执著
候著者	候著者
記著書	记著书
夾著作	夹著作
點著名	点著名
膠著書	胶著书
冀著	冀着
猜著書	猜着书
粵	粤
罵著述	骂著述
跪著者	跪著者
高著錄	高著录
著然	着然
檔	档
拎著录	拎著录
撣	掸
走著者	走著者
撥	拨
撫	抚
撳	揿
撲	扑
鋪著者	铺著者
藏著	藏着
撻	挞
晃著名	晃著名
撿	捡
據	据
領著述	领著述
撈	捞
撏	挦
鹵	卤
樂著名	乐著名
撐	撑
拖著者	拖著者
光著述	光著述
鹽	盐
鹼	碱
撟	挢
據著錄	据著录
撝	㧑
鹺	鹾
饘	𫗴
饜	餍
演著述	演著述
饞	馋
饑	饥
饒	饶
饗	飨
饉	馑
饈	馐
饋	馈
饊	馓
饌	馔
採	采
饁	馌
布殊	布什
饅	馒
掗	挜
乾泉	乾泉
唱著书	唱著书
遇著	遇着
代表著名	代表著名
掛	挂
掙	挣
寫著	写着
洗鍊	洗练
衣著稱	衣著称
掃	扫
醯鸡	醯鸡
壓著稱	压著称
饢	馕
機械人	机器人
疑著书	疑著书
蹌	跄
龕	龛
踩著录	踩著录
蹕	跸
忌廉	奶油
藝著	艺着
著摸	着摸
高著书	高著书
睹微知著	睹微知著
蹣	蹒
蹤	踪
沿著書	沿著书
柳诒徵	柳诒徵
別	别
有著稱	有著称
猜著稱	猜著称
蹺	跷
蹻	𫏋
藝著錄	艺著录
因著作	因著作
進	进
週	周
涇	泾
站著作	站著作
連	连
麗著者	丽著者
曠若發矇	旷若发矇
拖著錄	拖著录
求著書	求著书
跪著名	跪著名
這	这
鶖	鹙
醯雞	醯鸡
涼	凉
戀著稱	恋著称
縭	缡
千里達托貝哥	特立尼达和托巴哥
忙著名	忙著名
覘	觇
展著者	展著者
覓	觅
心著錄	心著录
忙著作	忙著作
合著	合著
視	视
見	见
跟著書	跟著书
規	规
覎	觃
盾著書	盾著书
隨著	随着
流著书	流著书
奼	姹
膠著述	胶著述
覺	觉
覽	览
覼	𫌨
覿	觌
茅利塔尼亞	毛里塔尼亚
覲	觐
戰著者	战著者
覷	觑
拖著述	拖著述
奬	奖
親	亲
奩	奁
覬	觊
覯	觏
奪	夺
覡	觋
奧	奥
銀鍊	银链
覥	觍
覦	觎
關著述	关著述
載著名	载著名
頓	顿
創	创
剴	剀
剷	铲
著績	着绩
康著	康着
漫著書	漫著书
瓜地馬拉	危地马拉
剮	剐
剗	刬
肅	肃
剛	刚
剝	剥
勞	劳
急著名	急著名
剄	刭
則	则
身著錄	身著录
剋	克
剎	刹
挑著稱	挑著称
轉著作	转著作
待著名	待著名
易·乾	易·乾
髭著书	髭著书
趴著述	趴著述
显著	显著
達著錄	达著录
追著稱	追著称
憶	忆
鶇	鸫
梵谷	凡高
躂	跶
躍	跃
滿八進位	满八进位
躉	趸
躋	跻
夾著錄	夹著录
躕	蹰
留著者	留著者
躑	踯
躓	踬
躒	跞
順著稱	顺著称
布基納法索	布基纳法索
敞著作	敞著作
躥	蹿
吹著书	吹著书
留著称	留著称
皺著者	皱著者
躡	蹑
保障著述	保障著述
制著錄	制著录
躪	躏
身著書	身著书
附睪	附睾
追著錄	追著录
漫著述	漫著述
䊷	䌶
籮	箩
撞球	台球
罈	坛
罎	坛
罌	罂
沿著	沿着
迦納	加纳
魺	鲄
幺蛾子	幺蛾子
罰	罚
罷	罢
罵	骂
字元濟	字元济
流露著	流露着
戀著述	恋著述
曉	晓
滿十六進位	满十六进位
叫著錄	叫著录
瑪	玛
瑩	莹
坐著名	坐著名
去著称	去著称
瑣	琐
代表著	代表着
候著作	候著作
乾男	乾男
瑲	玱
快閃記憶體	快闪存储器
瑋	玮
釀著名	酿著名
困著書	困著书
轉著書	转著书
庇護著	庇护着
身著名	身著名
瑒	玚
餞	饯
餜	馃
餚	肴
朝著录	朝著录
餘	余
餖	饾
餗	𫗧
餔	𫗦
餕	馂
餒	馁
餓	饿
餑	饽
餎	饹
餏	饻
餌	饵
養	养
修鍊	修炼
餄	饸
餅	饼
餃	饺
餾	馏
照著書	照著书
餼	饩
豎著作	竖著作
餺	馎
餶	馉
笑著称	笑著称
餵	喂
印著称	印著称
互聯網	互联网
餱	糇
罵著書	骂著书
揀	拣
館	馆
餦	𫗠
皺著名	皱著名
餡	馅
乾笃	乾笃
陈乾生	陈乾生
資訊理論	信息论
尋著書	寻著书
連著述	连著述
言幾析理	言幾析理
罵著稱	骂著称
乾符	乾符
攪	搅
得著者	得著者
騙著書	骗著书
盯著	盯着
有著录	有著录
當著名	当著名
管著述	管著述
忙著稱	忙著称
低著述	低著述
待著述	待著述
寫著作	写著作
釷	钍
釵	钗
附著書	附著书
踏著作	踏著作
漫著称	漫著称
釺	钎
釹	钕
釧	钏
點著者	点著者
釤	钐
向著述	向著述
淚	泪
淒	凄
麽氏	麽氏
釗	钊
釕	钌
