16進位制	16进位制
板著臉	板着脸
枕著	枕着
枕著作	枕著作
枕著名	枕著名
枕著錄	枕著录
枕著稱	枕著称
枕著者	枕著者
枕著述	枕著述
槍枝	枪支
柏林圍牆	柏林墙
查帳	查账
查維茲	查韦斯
標志著	标志着
標誌著	标志着
格瑞那丁	格林纳丁斯
格瑞那達	格林纳达
格林美獎	格莱美奖
葛萊美獎	格莱美奖
喬治亞字母	格鲁吉亚字母
喬治亞語	格鲁吉亚语
森巴舞	桑巴舞
梅赫西迪	梅赛德斯
夢著	梦着
夢著《	梦著《
夢著書	梦著书
夢著作	梦著作
夢著名	梦著名
夢著錄	梦著录
夢著稱	梦著称
夢著者	梦著者
夢著述	梦著述
梳著	梳着
梳著作	梳著作
梳著名	梳著名
梳著錄	梳著录
梳著稱	梳著称
梳著者	梳著者
梳著述	梳著述
梵谷	梵高
欠帳	欠账
正等著	正等着
死帳	死账
帕運	残奥
帕拉林匹克	残疾人奥林匹克
庇里牛斯	比利牛斯
普利托利亞	比勒陀利亚
披索	比索
畢卡索	毕加索
茅利塔尼亞	毛里塔尼亚
模里西斯	毛里求斯
毛里裘斯	毛里求斯
公厘	毫米
公釐	毫米
氧份	氧分
胺基酸	氨基酸
水份	水分
水氣	水汽
求著	求着
求著書	求著书
求著作	求著作
求著名	求著名
求著錄	求著录
求著稱	求著称
求著者	求著者
求著述	求著述
漢諾瓦	汉诺威
東加王國	汤加王国
沈著	沉着
沉著	沉着
沉著書	沉著书
沉著作	沉著作
沉著名	沉著名
沉著錄	沉著录
沉著稱	沉著称
沉著者	沉著者
沉著述	沉著述
沙地阿拉伯	沙特阿拉伯
沙烏地阿拉伯	沙特阿拉伯
沿著	沿着
沿著書	沿著书
沿著作	沿著作
沿著名	沿著名
沿著錄	沿著录
沿著稱	沿著称
沿著者	沿著者
沿著述	沿著述
玻里尼西亞	波利尼西亚
波士尼亞	波斯尼亚
波士尼亞與赫塞哥維納	波斯尼亚和黑塞哥维那
鐵達尼號	泰坦尼克号
幫浦	泵
澤倫斯基	泽连斯基
辛巴威	津巴布韦
宏都拉斯	洪都拉斯
活著	活着
活著書	活著书
活著作	活著作
活著名	活著名
活著錄	活著录
活著稱	活著称
活著者	活著者
活著述	活著述
流水帳	流水账
流著	流着
流著書	流著书
流著作	流著作
流著名	流著名
流著錄	流著录
流著稱	流著称
流著者	流著者
流著述	流著述
流露著	流露着
浮著	浮着
蘭卡威	浮罗交怡
浮著書	浮著书
浮著作	浮著作
浮著名	浮著名
浮著錄	浮著录
浮著稱	浮著称
浮著者	浮著者
浮著述	浮著述
海洛英	海洛因
海浬	海里
塗著	涂着
潤著	润着
潤著書	润著书
潤著作	润著作
潤著名	润著名
潤著錄	润著录
潤著稱	润著称
潤著者	润著者
潤著述	润著述
混帳	混账
清澈	清澈
清帳	清账
溫荷克	温得和克
渴著	渴着
渴著書	渴著书
渴著作	渴著作
渴著名	渴著名
渴著錄	渴著录
渴著稱	渴著称
渴著者	渴著者
渴著述	渴著述
原始碼	源代码
溢著	溢着
溢著書	溢著书
溢著作	溢著作
溢著名	溢著名
溢著錄	溢著录
溢著稱	溢著称
溢著者	溢著者
溢著述	溢著述
滑鼠蛇	滑鼠蛇
滿16進位	满16进位
滿二進位	满二进位
滿八進位	满八进位
滿六進位	满六进位
滿十六進位	满十六进位
滿十進位	满十进位
滿著	满着
滿著作	满著作
滿著名	满著名
滿著者	满著者
演著	演着
演著書	演著书
演著作	演著作
演著名	演著名
演著錄	演著录
演著稱	演著称
演著者	演著者
演著述	演著述
漫著	漫着
漫著書	漫著书
漫著作	漫著作
漫著名	漫著名
漫著錄	漫著录
漫著稱	漫著称
漫著者	漫著者
漫著述	漫著述
潮寮	潮寮
雷射	激光
點著	点着
點著作	点著作
點著名	点著名
點著錄	点著录
點著稱	点著称
點著者	点著者
點著述	点著述
爛帳	烂账
燒著	烧着
燒著作	烧著作
燒著名	烧著名
燒著錄	烧著录
燒著稱	烧著称
燒著者	烧著者
燒著述	烧著述
照著	照着
照著書	照著书
照著作	照著作
照著名	照著名
照著錄	照著录
照著稱	照著称
照著者	照著者
照著述	照著述
愛護著	爱护着
愛著	爱着
愛著書	爱著书
愛著作	爱著作
愛著名	爱著名
愛著錄	爱著录
愛著稱	爱著称
愛著者	爱著者
愛著述	爱著述
牽著	牵着
牽著書	牵著书
牽著作	牵著作
牽著名	牵著名
牽著錄	牵著录
牽著稱	牵著称
牽著者	牵著者
牽著述	牵著述
千里達	特立尼达
千里達及托巴哥	特立尼达和多巴哥
德蕾莎·梅伊	特蕾莎·梅
文翠珊	特蕾莎·梅
狗隻	犬只
猶豫著	犹豫着
獨立國家國協	独立国家联合体
獨立國協	独联体
猜著	猜着
猜著書	猜着书
猜著作	猜著作
猜著名	猜著名
猜著錄	猜著录
猜著稱	猜著称
猜著者	猜著者
猜著述	猜著述
玩著	玩着
班固著	班固著
溫納圖	瓦努阿图
萬那杜	瓦努阿图
華勒沙	瓦文萨
華里沙	瓦文萨
甜著	甜着
甜著書	甜著书
甜著作	甜著作
甜著名	甜著名
甜著錄	甜著录
甜著稱	甜著称
甜著者	甜著者
甜著述	甜著述
用著	用着
用著書	用著书
用著作	用著作
用著名	用著名
用著錄	用著录
用著稱	用著称
用著者	用著者
用著述	用著述
A型肝炎	甲型肝炎
A肝	甲肝
電視劇集	电视剧
電視影集	电视系列剧
畫著	画着
畫著作	画著作
畫著名	画著名
畫著稱	画著称
畫著者	画著者
介面	界面
留尼旺	留尼汪
留著	留着
留著書	留着书
留著作	留著作
留著名	留著名
留著錄	留著录
留著稱	留著称
留著者	留著者
留著述	留著述
疑著	疑着
疑著書	疑著书
疑著作	疑著作
疑著名	疑著名
疑著錄	疑著录
疑著稱	疑著称
疑著者	疑著者
疑著述	疑著述
狂牛症	疯牛病
瘋牛症	疯牛病
徵狀	症状
百慕達	百慕大
皮雅斯·布士南	皮尔斯·布鲁斯南
皺著	皱着
皺著書	皱著书
皺著作	皱著作
皺著名	皱著名
皺著錄	皱著录
皺著稱	皱著称
皺著者	皱著者
皺著述	皱著述
鹽份	盐分
蓋著	盖着
蓋著作	盖著作
蓋著名	盖著名
蓋著稱	盖著称
盛著	盛着
盛著書	盛著书
盛著作	盛著作
盛著名	盛著名
盛著錄	盛著录
盛著稱	盛著称
盛著者	盛著者
盛著述	盛著述
盯著	盯着
盯著書	盯着书
盯著作	盯著作
盯著名	盯著名
盯著錄	盯著录
盯著稱	盯著称
盯著者	盯著者
盯著述	盯著述
看著	看着
看著書	看着书
看著作	看著作
看著名	看著名
看著錄	看著录
看著稱	看著称
看著者	看著者
看著述	看著述
真人騷	真人秀
著業	着业
著絲	着丝
著麼	着么
著人	着人
著什	着什
著甚麼	着什么
著他	着他
著令	着令
著位	着位
著體	着体
著你	着你
著妳	着你
著便	着便
著涼	着凉
著力	着力
著勁	着劲
著號	着号
著呢	着呢
著哩	着哩
著地	着地
著墨	着墨
著聲	着声
著處	着处
著她	着她
著它	着它
著牠	着它
著定	着定
著實	着实
著己	着己
著帳	着帐
著床	着床
著庸	着庸
著式	着式
著錄	著录
著心	着心
著志	着志
著忙	着忙
著急	着急
著惱	着恼
著驚	着惊
著想	着想
著意	着意
著慌	着慌
著我	着我
著手	着手
著抹	着抹
著摸	着摸
著撰	着撰
著數	着数
著明	着明
著末	着末
著極	着极
著格	着格
著棋	着棋
著氣	着气
著法	着法
著淺	着浅
著火	着火
著然	着然
著甚	着甚
著生	着生
著疑	着疑
著白	着白
著相	着相
著眼	着眼
著著	着着
著祂	着祂
著積	着积
著稿	着稿
著筆	着笔
著籍	着籍
著緊	着紧
著緑	着緑
著絆	着绊
著績	着绩
著緋	着绯
著綠	着绿
著肉	着肉
著腳	着脚
著艦	着舰
著色	着色
著節	着节
著花	着花
著莫	着莫
著落	着落
著槁	着藁
著衣	着衣
著裝	着装
著要	着要
著警	着警
著趣	着趣
著邊	着边
著迷	着迷
著跡	着迹
著重	着重
著録	着録
著聞	着闻
著陸	着陆
著雝	着雝
著鞭	着鞭
著題	着题
著魔	着魔
睡著	睡着
睡著書	睡著书
睡著作	睡著作
睡著名	睡著名
睡著錄	睡著录
睡著稱	睡著称
睡著者	睡著者
睡著述	睡著述
瞞著	瞒着
瞞著書	瞒著书
瞞著作	瞒著作
瞞著名	瞒著名
瞞著錄	瞒著录
瞞著稱	瞒著称
瞞著者	瞒著者
瞞著述	瞒著述
瞧著	瞧着
瞧著書	瞧着书
瞧著作	瞧著作
瞧著名	瞧著名
瞧著錄	瞧著录
瞧著稱	瞧著称
瞧著者	瞧著者
瞧著述	瞧著述
瞪著	瞪着
瞪著書	瞪著书
瞪著作	瞪著作
瞪著名	瞪著名
瞪著錄	瞪著录
瞪著稱	瞪著称
瞪著者	瞪著者
瞪著述	瞪著述
矛盾著	矛盾着
智慧財產權	知识产权
智財權	知识产权
知識份子	知识分子
什勒斯維希	石勒苏益格
矽塵	矽尘
矽尘	矽尘
矽肺	矽肺
矽鋼	矽钢
矽钢	矽钢
矽	硅
矽片	硅片
矽谷	硅谷
硬體	硬件
硬碟	硬盘
磁碟	磁盘
磁軌	磁道
福馬林	福尔马林
富比士	福布斯
福著	福着
福著書	福著书
福著作	福著作
福著名	福著名
福著錄	福著录
福著稱	福著称
福著者	福著者
福著述	福著述
私帳	私账
葛摩	科摩罗
象牙海岸	科特迪瓦
積極份子	积极分子
流動互聯網	移动互联网
行動網際網路	移动互联网
流動應用程式	移动应用程序
行動應用程式	移动应用程序
流動作業系統	移动操作系统
行動作業系統	移动操作系统
流動支付	移动支付
行動支付	移动支付
流動電話	移动电话
行動電話	移动电话
流動網絡	移动网络
行動網路	移动网络
流動裝置	移动设备
行動裝置	移动设备
程式設計師	程序员
程式控制	程控
空中巴士	空中客车
空氣品質	空气质量
空氣質素	空气质量
空著	空着
空著書	空著书
空著作	空著作
空著名	空著名
空著錄	空著录
空著稱	空著称
空著者	空著者
空著述	空著述
穿著	穿着
穿著書	穿著书
穿著作	穿著作
穿著名	穿著名
穿著錄	穿著录
穿著稱	穿著称
穿著者	穿着者
穿著述	穿著述
突尼西亞	突尼斯
立著	立着
立著《	立著《
立著作	立著作
立著名	立著名
立著有	立著有
立著称	立著称
立著稱	立著称
立著者	立著者
立著（	立著（
豎著	竖着
豎著書	竖著书
豎著作	竖著作
豎著名	竖著名
豎著錄	竖著录
豎著稱	竖著称
豎著者	竖著者
豎著述	竖著述
站著	站着
站著書	站著书
站著作	站著作
站著名	站著名
站著錄	站著录
站著稱	站著称
站著者	站著者
站著述	站著述
笑著	笑着
笑著書	笑著书
笑著作	笑著作
笑著名	笑著名
笑著錄	笑著录
笑著稱	笑著称
笑著者	笑著者
笑著述	笑著述
筆帳	笔账
提比里西	第比利斯
等著被	等着被
策畫	策划
簽著	签着
簽帳	签账
運算元	算子
演算法	算法
算帳	算账
管著	管着
管著書	管著书
管著作	管著作
管著名	管著名
管著錄	管著录
管著稱	管著称
管著者	管著者
管著述	管著述
管帳	管账
公尺	米
糊塗帳	糊涂账
糖份	糖分
動畫影集	系列动画片
繫著	系着
索忍尼辛	索尔仁尼琴
索贊尼辛	索尔仁尼琴
蘇辛尼津	索尔仁尼琴
索馬利亞	索马里
索馬利蘭	索马里兰
正體中文	繁体中文
約翰尼斯堡	约翰内斯堡
強斯頓環礁	约翰斯顿岛
紀錄著	纪录着
縱著	纵着
組份	组分
織著	织着
經常帳	经常账
經濟帳	经济账
綁著	绑着
綁著書	绑著书
綁著作	绑著作
綁著名	绑著名
綁著錄	绑著录
綁著稱	绑著称
綁著者	绑著者
綁著述	绑著述
結帳	结账
繞著	绕着
繞著書	绕著书
繞著作	绕著作
繞著名	绕著名
繞著錄	绕著录
繞著稱	绕著称
繞著者	绕著者
繞著述	绕著述
繪著	绘着
繪著。	绘著。
繪著名	绘著名
繪著称	绘著称
繪著稱	绘著称
繪著，	绘著，
維根斯坦	维特根斯坦
繃著	绷着
緣份	缘分
纏著	缠着
纏著書	缠著书
纏著作	缠著作
纏著名	缠著名
纏著錄	缠著录
纏著稱	缠著称
纏著者	缠著者
纏著述	缠著述
網站連結	网站链接
網路	网络
網頁連結	网页链接
羅蘋	罗宾
罩著	罩着
罩著書	罩著书
罩著作	罩著作
罩著名	罩著名
罩著錄	罩著录
罩著稱	罩著称
罩著者	罩著者
罩著述	罩著述
美著	美着
美著書	美著书
美著作	美著作
美著名	美著名
美著錄	美著录
美著称	美著称
美著稱	美著称
美著者	美著者
美著述	美著述
耀著	耀着
耀著書	耀著书
耀著作	耀著作
耀著名	耀著名
耀著錄	耀著录
耀著稱	耀著称
耀著者	耀著者
耀著述	耀著述
寮國	老挝
寮人民民主共和國	老挝人民民主共和国
寮保護國	老挝保护国
寮語	老挝语
考著	考着
考著書	考著书
考著作	考著作
考著名	考著名
考著錄	考著录
考著稱	考著称
考著者	考著者
考著述	考著述
職份	职分
辛康納利	肖恩·康纳利
蕭士塔高維奇	肖斯塔科维奇
蕭士達高維契	肖斯塔科维奇
甘迺迪	肯尼迪
背著	背着
背著書	背著书
背著作	背著作
背著名	背著名
背著錄	背著录
背著稱	背著称
背著者	背著者
背著述	背著述
膠著	胶着
膠著書	胶著书
膠著作	胶著作
膠著名	胶著名
膠著錄	胶著录
膠著稱	胶著称
膠著者	胶著者
膠著述	胶著述
舒麥加	舒马赫
太空梭	航天飞机
穿梭機	航天飞机
愛滋	艾滋
晶元	芯片
晶片	芯片
蘇利南	苏里南
苦著	苦着
苦著書	苦著书
苦著作	苦著作
苦著名	苦著名
苦著錄	苦著录
苦著稱	苦著称
苦著者	苦著者
苦著述	苦著述
英吋	英寸
英呎	英尺
共和联邦	英联邦
大英國協	英联邦
士多啤梨	草莓
螢光棒	荧光棒
螢屏	荧屏
霍爾斯坦	荷尔斯泰因
荷里活廣場	荷里活广场
荷里活道	荷里活道
摩斯比港	莫尔斯比港
莫士比港	莫尔斯比港
莫三比克	莫桑比克
雷伊泰灣	莱特湾
賴索托	莱索托
獲著	获着
穫著	获着
獲著書	获著书
獲著作	获著作
獲著名	获著名
獲著錄	获著录
獲著稱	获著称
獲著者	获著者
獲著述	获著述
菁寮	菁寮
塞拉耶佛	萨拉热窝
落著	落着
落著書	落著书
落著作	落著作
落著名	落著名
落著錄	落著录
落著稱	落著称
落著者	落著者
落著述	落著述
蒙特婁	蒙特利尔
蒙著	蒙着
蒙著書	蒙著书
蒙著作	蒙著作
蒙著名	蒙著名
蒙著錄	蒙著录
蒙著稱	蒙著称
蒙著者	蒙著者
蒙著述	蒙著述
藍芽	蓝牙
蘊涵著	蕴涵着
薛丁格	薛定谔
藏著	藏着
藏著書	藏著书
藏著作	藏著作
藏著名	藏著名
藏著錄	藏著录
藏著稱	藏著称
藏著者	藏著者
藏著述	藏著述
蘸著	蘸着
蘸著書	蘸著书
蘸著作	蘸著作
蘸著名	蘸著名
蘸著錄	蘸著录
蘸著稱	蘸著称
蘸著者	蘸著者
蘸著述	蘸著述
虛擬實境	虚拟现实
蚵寮	蚵寮
行人路权	行人路权
行人路權	行人路权
行著	行着
行著書	行著书
行著作	行著作
行著名	行著名
行著錄	行著录
行著稱	行著称
行著者	行著者
行著述	行著述
衣著	衣着
衣著書	衣著书
衣著作	衣著作
衣著名	衣著名
衣著錄	衣著录
衣著称	衣著称
衣著稱	衣著称
衣著者	衣著者
衣著述	衣著述
表姊	表姐
裝著	装着
裝著書	装著书
裝著作	装著作
裝著名	装著名
裝著錄	装著录
裝著稱	装著称
裝著者	装著者
裝著述	装著述
裹著	裹着
裹著書	裹著书
裹著作	裹著作
裹著名	裹著名
裹著錄	裹著录
裹著稱	裹著称
裹著者	裹著者
裹著述	裹著述
威騰電子	西部数据
要帳	要账
覆蓋著	覆盖着
覆著	覆着
見著	见著
見著書	见著书
見著作	见著作
見著名	见著名
見著錄	见著录
見著稱	见著称
見著者	见著者
見著述	见著述
規畫	规划
視著	视着
視著作	视著作
視著名	视著名
視著稱	视著称
視著者	视著者
占士邦	詹姆斯·邦德
警戒著	警戒着
計畫	计划
電腦程式	计算机程序
認帳	认账
記錄著	记录着
記著	记着
記著書	记著书
記著作	记著作
記著名	记著名
記著錄	记著录
記著稱	记著称
記著者	记著者
記著述	记著述
記帳	记账
片語	词组
試著	试着
試著書	试著书
試著作	试著作
試著名	试著名
試著錄	试著录
試著稱	试著称
試著者	试著者
試著述	试著述
語著	语着
語著書	语著书
語著作	语著作
語著名	语著名
語著錄	语著录
語著稱	语著称
語著者	语著者
語著述	语著述
說著	说着
說著作	说著作
說著稱	说著称
說著者	说著者
說著述	说著述
諾曼第	诺曼底
數據機	调制解调器
象徵著	象征着
象徵著名	象征著名
碧咸	贝克汉姆
貝南共和國	贝宁共和国
貝爾格勒	贝尔格莱德
負著	负着
貢寮	贡寮
帳上	账上
帳冊	账册
帳務	账务
帳單	账单
帳號	账号
帳外	账外
帳戶	账户
帳房	账房
帳本	账本
帳款	账款
帳目	账目
帳簿	账簿
帳面	账面
賒帳	赊账
賴帳	赖账
尚比亞	赞比亚
西臺人	赫梯人
西臺國	赫梯国
西臺帝	赫梯帝
西臺文	赫梯文
西臺族	赫梯族
西臺王	赫梯王
西臺語	赫梯语
赫魯雪夫	赫鲁晓夫
走為上著	走为上着
走著	走着
走著書	走著书
走著作	走著作
走著名	走著名
走著錄	走著录
走著稱	走著称
走著者	走著者
走著述	走著述
趕著	赶着
趕著書	赶著书
趕著作	赶著作
趕著名	赶著名
趕著錄	赶著录
趕著稱	赶著称
趕著者	赶著者
趕著述	赶著述
趁著	趁着
超連結	超链接
趴著	趴着
趴著書	趴著书
趴著作	趴著作
趴著名	趴著名
趴著錄	趴著录
趴著稱	趴著称
趴著者	趴著者
趴著述	趴著述
躍著	跃着
躍著書	跃著书
躍著作	跃著作
躍著名	跃著名
躍著錄	跃著录
躍著稱	跃著称
躍著者	跃著者
躍著述	跃著述
跑著	跑着
跑著書	跑著书
跑著作	跑著作
跑著名	跑著名
跑著錄	跑著录
跑著稱	跑著称
跑著者	跑著者
跑著述	跑著述
跟著	跟着
跟著書	跟著书
跟著作	跟著作
跟著名	跟著名
跟著錄	跟著录
跟著稱	跟著称
跟著者	跟著者
跟著述	跟著述
跪著	跪着
跪著書	跪著书
跪著作	跪著作
跪著名	跪著名
跪著錄	跪著录
跪著稱	跪著称
跪著者	跪著者
跪著述	跪著述
跳著	跳着
跳著書	跳著书
跳著作	跳著作
跳著名	跳著名
跳著錄	跳著录
跳著稱	跳著称
跳著者	跳著者
跳著述	跳著述
踏著	踏着
踏著書	踏著书
踏著作	踏著作
踏著名	踏著名
踏著錄	踏著录
踏著稱	踏著称
踏著者	踏著者
踏著述	踏著述
踩著	踩着
踩著書	踩著书
踩著作	踩著作
踩著名	踩著名
踩著錄	踩著录
踩著稱	踩著称
踩著者	踩著者
踩著述	踩著述
笨豬跳	蹦极跳
绑紧跳	蹦极跳
蹲著	蹲着
身份	身份
身分	身份
身著	身着
身著書	身著书
身著作	身著作
身著名	身著名
身著錄	身著录
身著稱	身著称
身著者	身著者
身著述	身著述
躺著	躺着
躺著書	躺著书
躺著作	躺著作
躺著名	躺著名
躺著錄	躺著录
躺著稱	躺著称
躺著者	躺著者
躺著述	躺著述
轉著	转着
轉著書	转著书
轉著作	转著作
轉著名	转著名
轉著錄	转著录
轉著稱	转著称
轉著者	转著者
轉著述	转著述
轉帳	转账
軟體	软件
軟體動物	软体动物
軟體家具	软体家具
軟體操	软体操
軟體生物	软体生物
軟碟機	软驱
載著	载着
載著書	载著书
載著作	载著作
載著名	载著名
載著錄	载著录
載著稱	载著称
載著者	载著者
載著述	载著述
達·文西	达·芬奇
達著	达着
三蘭港	达累斯萨拉姆
達文西	达芬奇
達著書	达著书
達著作	达著作
達著名	达著名
達著錄	达著录
達著稱	达著称
達著者	达著者
達著述	达著述
過份	过分
過著	过着
過著作	过著作
過著名	过著名
過著錄	过著录
過著稱	过著称
過著者	过著者
過著述	过著述
米高·奧雲	迈克尔·欧文
還帳	还账
演化論	进化论
進帳	进账
連著	连着
連結他	连结他
連著書	连著书
連著作	连著作
連著名	连著名
連著錄	连著录
連著稱	连著称
連著者	连著者
連著述	连著述
杜拜	迪拜
迫著	迫着
疊代	迭代
追著	追着
追著書	追著书
追著作	追著作
追著名	追著名
追著錄	追著录
追著稱	追著称
追著者	追著者
追著述	追著述
逆著	逆着
逆著書	逆著书
逆著作	逆著作
逆著名	逆著名
逆著錄	逆著录
逆著稱	逆著称
逆著者	逆著者
逆著述	逆著述
逼著	逼着
逼著書	逼著书
逼著作	逼著作
逼著名	逼著名
逼著錄	逼著录
逼著稱	逼著称
逼著者	逼著者
逼著述	逼著述
遇著	遇着
遇著書	遇著书
遇著作	遇著作
遇著名	遇著名
遇著錄	遇著录
遇著称	遇著称
遇著稱	遇著称
遇著者	遇著者
遇著述	遇著述
遍佈著	遍布着
遍布著	遍布着
道瓊	道琼斯
道瓊斯	道琼斯
部份	部分
都等著	都等着
配合著	配合着
配合著名	配合著名
配著	配着
配著書	配著书
配著作	配著作
配著名	配著名
配著錄	配著录
配著稱	配著称
配著者	配著者
配著述	配著述
釀著	酿着
釀著書	酿著书
釀著作	酿著作
釀著名	酿著名
釀著錄	酿著录
釀著稱	酿著称
釀著者	酿著者
釀著述	酿著述
黎克特制	里氏
芮氏0	里氏0
芮氏1	里氏1
芮氏2	里氏2
芮氏3	里氏3
芮氏4	里氏4
芮氏5	里氏5
芮氏6	里氏6
芮氏7	里氏7
芮氏8	里氏8
芮氏9	里氏9
芮氏地震規模	里氏地震规模
芮氏規模	里氏震级
金夏沙	金沙萨
鈽	钸
鍅	钫
狄托	铁托
卯足	铆足
鋪著	铺着
鋪著書	铺著书
鋪著作	铺著作
鋪著名	铺著名
鋪著錄	铺著录
鋪著稱	铺著称
鋪著者	铺著者
鋪著述	铺著述
鏈結	链接
銷帳	销账
鉲	锎
鎝	𨱏
鉳	锫
鑀	锿
鋂	镅
錼	镎
孟德爾遜	门德尔松
孟德爾頌	门德尔松
快閃記憶體	闪存
閉著	闭着
閉著書	闭著书
閉著作	闭著作
閉著名	闭著名
閉著錄	闭著录
閉著稱	闭著称
閉著者	闭著者
閉著述	闭著述
閑著	闲着
閒著	闲着
閑著書	闲著书
閑著作	闲著作
閑著名	闲著名
閑著錄	闲著录
閑著稱	闲著称
閑著者	闲著者
閑著述	闲著述
悶著	闷着
鬧著	闹着
聞著	闻着
亞塞拜然	阿塞拜疆
阿布達比	阿布扎比
撒拉威阿拉伯	阿拉伯撒哈拉
阿拉伯聯合大公國	阿拉伯联合酋长国
亞斯文	阿斯旺
附著	附着
附著書	附著书
附著作	附著作
附著名	附著名
附著錄	附著录
附著稱	附著称
附著者	附著者
附著述	附著述
陋著	陋着
陋著書	陋著书
陋著作	陋著作
陋著名	陋著名
陋著錄	陋著录
陋著稱	陋著称
陋著者	陋著者
陋著述	陋著述
陪著	陪着
陪著書	陪著书
陪著作	陪著作
陪著名	陪著名
陪著錄	陪著录
陪著稱	陪著称
陪著者	陪著者
陪著述	陪著述
隨著	随着
隨著書	随著书
隨著作	随著作
隨著名	随著名
隨著錄	随著录
隨著稱	随著称
隨著者	随著者
隨著述	随著述
私隱	隐私
隔著	隔着
隔著書	隔著书
隔著作	隔著作
隔著名	隔著名
隔著錄	隔著录
隔著稱	隔著称
隔著者	隔著者
隔著述	隔著述
耶加達	雅加达
雅爾達	雅尔塔
雅著	雅着
雅著書	雅著书
雅著作	雅著作
雅著名	雅著名
雅著錄	雅著录
雅著称	雅著称
雅著稱	雅著称
雅著者	雅著者
雅著述	雅著述
雷諾瓦	雷诺阿
荷姆茲	霍尔木兹
荷尼阿拉	霍尼亚拉
非份	非分
靠著	靠着
靠著作	靠著作
靠著名	靠著名
靠著錄	靠著录
靠著稱	靠著称
靠著者	靠著者
靠著述	靠著述
南韓	韩国
音樂錄影帶	音乐录影带
頂著	顶着
頂著書	顶著书
頂著作	顶著作
頂著名	顶著名
頂著錄	顶著录
頂著稱	顶著称
頂著者	顶著者
頂著述	顶著述
順著	顺着
順著書	顺著书
順著作	顺著作
順著名	顺著名
順著錄	顺著录
順著稱	顺著称
順著者	顺著者
順著述	顺著述
頓內次克	顿涅茨克
領著	领着
領著書	领著书
領著作	领著作
領著名	领著名
領著錄	领著录
領著稱	领著称
領著者	领著者
領著述	领著述
飃著	飘着
飄著	飘着
飄著書	飘著书
飄著作	飘著作
飄著名	飘著名
飄著錄	飘著录
飄著稱	飘著称
飄著者	飘著者
飄著述	飘著述
行政總裁	首席执行官
執行長、	首席执行官、
執行長。	首席执行官。
執行長，	首席执行官，
財務長、	首席财务官、
財務長。	首席财务官。
財務長，	首席财务官，
營運長、	首席运营官、
營運長。	首席运营官。
營運長，	首席运营官，
馬爾地夫	马尔代夫
萌島	马恩岛
馬勒當拿	马拉多纳
馬拉度納	马拉多纳
馬拉威	马拉维
馬斯垂克	马斯特里赫特
馬爾他	马耳他
麻薩諸塞	马萨诸塞
馬利共和國	马里共和国
駛著	驶着
駕著	驾着
駕著書	驾著书
駕著作	驾著作
駕著名	驾著名
駕著錄	驾著录
駕著稱	驾著称
駕著者	驾著者
駕著述	驾著述
罵著	骂着
罵著書	骂著书
罵著作	骂著作
罵著名	骂著名
罵著錄	骂著录
罵著稱	骂著称
罵著者	骂著者
罵著述	骂著述
騎著	骑着
騎著書	骑著书
騎著作	骑著作
騎著名	骑著名
騎著錄	骑著录
騎著稱	骑著称
騎著者	骑著者
騎著述	骑著述
騙著	骗着
騙著書	骗著书
騙著作	骗著作
騙著名	骗著名
騙著錄	骗著录
騙著稱	骗著称
騙著者	骗著者
騙著述	骗著述
尖峰時段	高峰时段
尖峰時間	高峰时间
高畫質	高清
高著	高着
高著書	高著书
高著作	高著作
高著名	高著名
高著錄	高著录
高著称	高著称
高著稱	高著称
高著者	高著者
高著述	高著述
魚雷	鱼雷
鱼雷	鱼雷
鹿寮	鹿寮
麥寮	麦寮
黏著	黏着
黏著書	黏著书
黏著作	黏著作
黏著名	黏著名
黏著錄	黏著录
黏著稱	黏著称
黏著者	黏著者
黏著述	黏著述
蒙特內哥羅	黑山
滑鼠	鼠标
㑯	㑔
㑳	㑇
㑶	㐹
㒓	𠉂
㒺	罔
㓂	寇
㓨	刾
㕁	却
㕑	厨
㕘	参
㕥	以
㗲	𠵾
㘚	㘎
㘭	坳
㜄	㚯
㜏	㛣
㜢	𡞱
㜷	𡝠
㝛	宿
㝠	冥
㞞	𪨊
㠀	岛
㠏	㟆
㠣	𫵷
㠯	以
㠶	帆
㡌	帽
㢘	廉
㢝	𢋈
㤙	恩
㥦	惬
㥮	㤘
㦎	𢛯
㨗	捷
㨪	晃
㨿	据
㩗	携
㩜	㨫
㩦	携
㩳	㧐
㩵	擜
㪚	散
㪟	敦
㬉	暖
㬪	叠
㯭	橹
㱃	饮
㳒	法
㴱	深
㷿	𤈷
㺏	𤠋
㼝	碗
㽞	留
㿜	瘪
㿧	𤽯
䀹	𥅴
䁪	𥇢
䁻	䀥
䃮	鿎
䈰	筲
䉙	𥬀
䉬	𫂈
䉲	𥮜
䊀	糊
䊭	𥺅
䊷	䌶
䋙	䌺
䋚	䌻
䋹	䌿
䋻	䌾
䋿	𦈓
䌈	𦈖
䌋	𦈘
䌖	𦈜
䌝	𦈟
䌟	𦈞
䌥	𦈠
䌰	𦈙
䎱	䎬
䓣	𬜯
䕳	𦰴
䗬	蜂
䗿	𧉞
䘏	恤
䘑	脉
䘚	卒
䙡	䙌
䛐	词
䛡	话
䜀	䜧
䝔	獾
䝻	𧹕
䝼	䞍
䞈	𧹑
䠀	蹚
䠶	射
䡵	𫟦
䢨	𨑹
䥇	䦂
䥑	鿏
䥕	𬭯
䥥	镰
䥩	𨱖
䥱	䥾
